Rank | Ticker | Company Name                             | Market Cap   | Composite Score (Mansfield RS vs SPY)
 338 | APA    | APA Corporation                          | $14.57B      | 55.9503
 339 | CARE   | Carter Bankshares, Inc.                  | $709.9M      | 55.8261
 340 | AMST   | Amesite Inc.                             | $6.3M        | 55.8012
 341 | ADEA   | Adeia Inc.                               | $3.27B       | 55.7764
 342 | ADBE   | Adobe Inc.                               | $100.98B     | 55.7267
 343 | ATOM   | Atomera Incorporated                     | $211.5M      | 55.6522
 344 | CORZ   | Core Scientific, Inc.                    | $6.47B       | 55.5776
 345 | CHR    | Cheer Holding, Inc.  - Class A Ordinary  | $3.4M        | 55.5528
 346 | CVCO   | Cavco Industries, Inc.                   | $4.61B       | 55.4783
 347 | CCEP   | Coca-Cola Europacific Partners plc       | $46.63B      | 55.4286
 348 | ARHS   | Arhaus, Inc.                             | $1.35B       | 55.3540
 349 | DCBO   | Docebo Inc.                              | $561.2M      | 55.3292
 350 | CNXC   | Concentrix Corporation                   | $1.42B       | 55.3292
 351 | DAVE   | Dave Inc.                                | $4.36B       | 55.3292
 352 | ARTNA  | Artesian Resources Corporation - Class A | $360.8M      | 55.3043
 353 | CETY   | Clean Energy Technologies, Inc.          | $11.2M       | 55.2547
 354 | AUGO   | Aura Minerals Inc.                       | $6.58B       | 55.2547
 355 | ADUS   | Addus HomeCare Corporation               | $2.15B       | 55.1304
 356 | ALMR   | Alamar Biosciences, Inc. - Class A commo | $2.23B       | 55.1056
 357 | CCCC   | C4 Therapeutics, Inc.                    | $524.7M      | 55.0559
 358 | CIGI   | Colliers International Group Inc.  - Sub | $5.29B       | 55.0062
 359 | AEBI   | Aebi Schmidt Holding AG                  | $961.1M      | 54.9814
 360 | CYCN   | Cyclerion Therapeutics, Inc.             | $18.9M       | 54.7826
 361 | CERT   | Certara, Inc.                            | $1.22B       | 54.7578
 362 | BRVE   | Braveheart Bio, Inc.                     | $1.95B       | 54.5839
 363 | CHYM   | Chime Financial, Inc.                    | $11.91B      | 54.3851
 364 | BLMN   | Bloomin' Brands, Inc.                    | $915.3M      | 54.3354
 365 | BRUN   | Boost Run Inc.                           | $1.39B       | 54.1863
 366 | CSCO   | Cisco Systems, Inc.                      | $444.99B     | 54.1118
